,Unnamed: 0,number,contract_name,name,address,position,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,Unnamed: 0.1,distance,datetime,date,time,lat,lng
1080,99.0,3.0,dublin,BOLTON STREET,Bolton Street,"{'lat': 53.351182, 'lng': -6.269859}",FALSE,FALSE,20,14,6,OPEN,1619165060000,99.0,,,,,,
1081,100.0,40.0,dublin,JERVIS STREET,Jervis Street,"{'lat': 53.3483, 'lng': -6.266651}",FALSE,FALSE,21,12,9,OPEN,1619165532000,100.0,,,,,,
1082,101.0,29.0,dublin,ORMOND QUAY UPPER,Ormond Quay Upper,"{'lat': 53.346057, 'lng': -6.268001}",FALSE,FALSE,29,17,12,OPEN,1619165529000,101.0,,,,,,
1083,102.0,103.0,dublin,GRANGEGORMAN LOWER (SOUTH),Grangegorman Lower (South),"{'lat': 53.354663, 'lng': -6.278681}",FALSE,FALSE,40,38,2,OPEN,1619165414000,102.0,,,,,,
1084,103.0,28.0,dublin,MOUNTJOY SQUARE WEST,Mountjoy Square West,"{'lat': 53.356299, 'lng': -6.258586}",FALSE,FALSE,30,23,6,OPEN,1619164952000,103.0,,,,,,
1085,104.0,39.0,dublin,WILTON TERRACE,Wilton Terrace,"{'lat': 53.332383, 'lng': -6.252717}",FALSE,FALSE,20,14,5,OPEN,1619165143000,104.0,,,,,,
1086,105.0,83.0,dublin,EMMET ROAD,Emmet Road,"{'lat': 53.340714, 'lng': -6.308191}",FALSE,FALSE,40,34,6,OPEN,1619165138000,105.0,,,,,,
1087,106.0,92.0,dublin,HEUSTON BRIDGE (NORTH),Heuston Bridge (North),"{'lat': 53.347802, 'lng': -6.292432}",FALSE,FALSE,40,16,24,OPEN,1619165356000,106.0,,,,,,
1088,107.0,21.0,dublin,LEINSTER STREET SOUTH,Leinster Street South,"{'lat': 53.34218, 'lng': -6.254485}",FALSE,FALSE,30,20,10,OPEN,1619165407000,107.0,,,,,,
1089,108.0,88.0,dublin,BLACKHALL PLACE,Blackhall Place,"{'lat': 53.3488, 'lng': -6.281637}",FALSE,FALSE,30,17,13,OPEN,1619165540000,108.0,,,,,,
1090,0.0,42.0,dublin,SMITHFIELD NORTH,Smithfield North,"{'lat': 53.349562, 'lng': -6.278198}",FALSE,FALSE,30,4,24,OPEN,1619265666000,0.0,,,,,,
1091,1.0,30.0,dublin,PARNELL SQUARE NORTH,Parnell Square North,"{'lat': 53.353462, 'lng': -6.265305}",FALSE,FALSE,20,19,1,OPEN,1619265499000,1.0,,,,,,
1092,2.0,54.0,dublin,CLONMEL STREET,Clonmel Street,"{'lat': 53.336021, 'lng': -6.26298}",FALSE,FALSE,33,23,10,OPEN,1619265374000,2.0,,,,,,
